================ Training Loss (Mon Dec  1 19:21:04 2025) ================
================ Training Loss (Mon Dec  1 19:21:52 2025) ================
[Rank 0] (epoch: 3, iters: 1680, time: 0.135, data: 0.005) , D_A: 0.247, G_A: 0.265, cycle_A: 0.061, idt_A: 0.038, D_B: 0.254, G_B: 0.264, cycle_B: 0.093, idt_B: 0.027

[Rank 0] (epoch: 3, iters: 1880, time: 0.135, data: 0.005) , D_A: 0.248, G_A: 0.249, cycle_A: 0.060, idt_A: 0.034, D_B: 0.254, G_B: 0.248, cycle_B: 0.089, idt_B: 0.027

[Rank 0] (epoch: 4, iters: 120, time: 0.149, data: 0.005) , D_A: 0.247, G_A: 0.258, cycle_A: 0.048, idt_A: 0.042, D_B: 0.255, G_B: 0.266, cycle_B: 0.104, idt_B: 0.020

[Rank 0] (epoch: 4, iters: 320, time: 0.135, data: 0.005) , D_A: 0.247, G_A: 0.262, cycle_A: 0.060, idt_A: 0.039, D_B: 0.252, G_B: 0.249, cycle_B: 0.103, idt_B: 0.026

[Rank 0] (epoch: 4, iters: 520, time: 0.136, data: 0.005) , D_A: 0.256, G_A: 0.293, cycle_A: 0.060, idt_A: 0.042, D_B: 0.262, G_B: 0.280, cycle_B: 0.111, idt_B: 0.023

[Rank 0] (epoch: 4, iters: 720, time: 0.135, data: 0.005) , D_A: 0.257, G_A: 0.249, cycle_A: 0.049, idt_A: 0.036, D_B: 0.254, G_B: 0.246, cycle_B: 0.107, idt_B: 0.017

[Rank 0] (epoch: 4, iters: 920, time: 0.136, data: 0.005) , D_A: 0.244, G_A: 0.272, cycle_A: 0.062, idt_A: 0.041, D_B: 0.256, G_B: 0.271, cycle_B: 0.126, idt_B: 0.026

[Rank 0] (epoch: 4, iters: 1120, time: 0.136, data: 0.005) , D_A: 0.254, G_A: 0.236, cycle_A: 0.048, idt_A: 0.033, D_B: 0.256, G_B: 0.248, cycle_B: 0.091, idt_B: 0.020

[Rank 0] (epoch: 4, iters: 1320, time: 0.136, data: 0.005) , D_A: 0.256, G_A: 0.298, cycle_A: 0.058, idt_A: 0.036, D_B: 0.254, G_B: 0.264, cycle_B: 0.101, idt_B: 0.025

[Rank 0] (epoch: 4, iters: 1520, time: 0.136, data: 0.005) , D_A: 0.244, G_A: 0.244, cycle_A: 0.060, idt_A: 0.033, D_B: 0.256, G_B: 0.247, cycle_B: 0.100, idt_B: 0.021

[Rank 0] (epoch: 4, iters: 1720, time: 0.135, data: 0.005) , D_A: 0.248, G_A: 0.245, cycle_A: 0.049, idt_A: 0.035, D_B: 0.257, G_B: 0.266, cycle_B: 0.095, idt_B: 0.020

